task,layer,tau,metric,mean,sem,n
push,2,-7,curvature,2.804057947247235,0.04458691847457227,30
push,2,-6,curvature,2.8091741990849273,0.0555793484381323,30
push,2,-5,curvature,2.750761374065802,0.057176061059257315,30
push,2,-4,curvature,2.6842469917640077,0.07139501235008636,30
push,2,-3,curvature,2.839016523717283,0.040943095493154474,30
push,2,-2,curvature,2.7693251791586637,0.06501911777534986,30
push,2,-1,curvature,2.6969398952557717,0.06319512631021704,30
push,2,0,curvature,2.7315525015443063,0.04915806604552523,30
push,2,1,curvature,2.6660957634462945,0.0663988954928979,30
push,2,2,curvature,2.5625181264052324,0.08081870696807962,30
push,2,3,curvature,2.50324251714545,0.08628821954014415,30
push,2,4,curvature,2.581361109826194,0.08187080150910447,30
push,2,5,curvature,2.646319725174126,0.06644383395246663,30
push,2,6,curvature,2.6153965038675864,0.0766553829253746,30
push,2,7,curvature,2.7432886507921266,0.07331786963701722,30
push,2,8,curvature,2.6774385437036305,0.06283203308127966,30
push,2,-8,tortuosity,9.59916724417147,0.8655477826618143,30
push,2,-7,tortuosity,9.5189977129647,0.8410023969830916,30
push,2,-6,tortuosity,9.230230840493942,0.8602899666684308,30
push,2,-5,tortuosity,9.709650420645735,0.8778695391018059,30
push,2,-4,tortuosity,8.780655273216114,0.9815117093916996,30
push,2,-3,tortuosity,8.311850118924356,0.627526832520065,30
push,2,-2,tortuosity,8.40479714096698,0.8295904249945121,30
push,2,-1,tortuosity,8.304220819390917,0.6182179426640904,30
push,2,0,tortuosity,7.567952164410426,0.6832128023544932,30
push,2,1,tortuosity,7.6914120073778935,0.8523521030025818,30
push,2,2,tortuosity,7.529567403663276,0.7007135679632054,30
push,2,3,tortuosity,7.35211591250295,0.7347845419270944,30
push,2,4,tortuosity,6.990612308215972,0.5664220455936493,30
push,2,5,tortuosity,7.837328133227519,0.7236849653296531,30
push,2,6,tortuosity,7.8428835016903005,0.6661076358945696,30
push,2,7,tortuosity,7.37009729911203,0.5095264727938695,30
push,2,8,tortuosity,8.042823777682788,0.7318658429633664,30
push,2,-8,pr,1.8204026023546855,0.08290445574009163,30
push,2,-7,pr,1.815801445643107,0.08735680285302821,30
push,2,-6,pr,1.7822851339975994,0.08705622390239025,30
push,2,-5,pr,1.803027125199636,0.08683094019336912,30
push,2,-4,pr,1.8193421959877014,0.0741734433156335,30
push,2,-3,pr,1.8779278198877971,0.07140737138374402,30
push,2,-2,pr,1.910130743185679,0.08294122939857097,30
push,2,-1,pr,2.00349041223526,0.08891162500227066,30
push,2,0,pr,2.0297550678253176,0.09404903471657172,30
push,2,1,pr,2.069287673632304,0.09996292455469324,30
push,2,2,pr,2.1322414835294086,0.11571381032274371,30
push,2,3,pr,2.113879962762197,0.11796869763742672,30
push,2,4,pr,2.1363808631896974,0.10231520327648663,30
push,2,5,pr,2.1130783279736836,0.10437349502958346,30
push,2,6,pr,2.0367749015490215,0.1068963751769305,30
