task,layer,group,rho1,energy,rank90,n_components
peg_insert,0,acc,0.09374060911553067,0.025091572378068784,5,6
peg_insert,0,ct,0.45465876210941797,0.31606962782135234,3,5
peg_insert,1,pos,0.9772636476259384,2.5496944391424328,5,6
peg_insert,1,vel,0.3956242861234965,0.34989678482175784,4,6
peg_insert,1,acc,0.19799669143633322,0.058496727323740186,4,6
peg_insert,1,ct,0.4578183599127146,0.5128878546357741,3,5
peg_insert,2,pos,0.9626076620532107,1.6122588350917169,3,6
peg_insert,2,vel,0.4348789148216863,0.32957713520012544,3,6
peg_insert,2,acc,0.20685999602553917,0.050079488108645404,2,6
peg_insert,2,ct,0.5352599007131793,0.5686651720001661,2,5
peg_insert,3,pos,0.9679874121366986,2.5397654280780073,4,6
peg_insert,3,vel,0.4395162370087289,0.3660267604387615,3,6
peg_insert,3,acc,0.2187463797709732,0.05810359584908224,2,6
peg_insert,3,ct,0.5241414284234585,0.572094394816915,2,5
peg_insert,4,pos,0.9836056593580212,3.05925404116305,4,6
peg_insert,4,vel,0.5057858655575376,0.5135890282701244,4,6
peg_insert,4,acc,0.25014531817300506,0.08585756127577783,4,6
peg_insert,4,ct,0.6300770773056297,0.7516336338946832,2,5
peg_insert,5,pos,0.9855963634320614,3.323068133778955,5,6
peg_insert,5,vel,0.5736993420744481,0.628833797292419,4,6
peg_insert,5,acc,0.2876986208466458,0.11186750118452371,4,6
peg_insert,5,ct,0.6836441572179042,0.9077837502963766,3,5
peg_insert,6,pos,0.9885948704563015,3.5852869100514737,5,6
peg_insert,6,vel,0.557042567671074,0.6464544707779928,4,6
peg_insert,6,acc,0.29027653306896706,0.11879421058095024,4,6
peg_insert,6,ct,0.6986274176100468,0.9478397209787927,3,5
peg_insert,7,pos,0.9911697121791694,3.80871702505445,5,6
peg_insert,7,vel,0.6649477103522724,0.8399559491270223,4,6
peg_insert,7,acc,0.3493265024657321,0.16356247305746702,4,6
peg_insert,7,ct,0.7386686262620885,1.1399558430002532,3,5
peg_insert,8,pos,0.9925825877866767,4.316860097896016,6,6
peg_insert,8,vel,0.6724521915106579,0.9060030733846411,4,6
peg_insert,8,acc,0.3442080151453934,0.16635616960310926,4,6
peg_insert,8,ct,0.7670385199177027,1.2149845313096648,3,5
peg_insert,9,pos,0.9924060646140475,4.2757076979601765,5,6
peg_insert,9,vel,0.6673415428035766,0.8910841228649464,4,6
peg_insert,9,acc,0.332128541978933,0.1642650634591579,4,6
peg_insert,9,ct,0.7680360111139228,1.1972581723369307,3,5
peg_insert,10,pos,0.9937497550106685,4.37667562283623,5,6
peg_insert,10,vel,0.6808065302280542,0.9290176648533459,4,6
peg_insert,10,acc,0.3248980933719394,0.1667722596495681,4,6
peg_insert,10,ct,0.7846294651133782,1.320519526301924,3,5
peg_insert,11,pos,0.9939380813252803,4.426232443276924,5,6
peg_insert,11,vel,0.7448561694212934,1.0399366112410204,4,6
peg_insert,11,acc,0.3609803115123747,0.19048791303812682,4,6
peg_insert,11,ct,0.7941511211418683,1.2891443280472241,3,5
peg_insert,12,pos,0.9932206840364948,4.462560889038206,5,6
peg_insert,12,vel,0.6751406884488146,0.9045022251083221,4,6
peg_insert,12,acc,0.34121752260138777,0.16635209564202832,4,6
peg_insert,12,ct,0.7842958137052952,1.3077682817447103,3,5
peg_insert,13,pos,0.9935016477221492,4.484166408389406,6,6
peg_insert,13,vel,0.6663911283994401,0.9036835156870004,4,6
peg_insert,13,acc,0.3806007977231038,0.19251048883476304,4,6
peg_insert,13,ct,0.7897536891264321,1.3203041276106542,3,5
peg_insert,14,pos,0.9929487728195278,4.360898749281128,5,6
peg_insert,14,vel,0.7111141170644357,0.9706148710371764,4,6
peg_insert,14,acc,0.3849766165819544,0.1940804381004887,3,6
peg_insert,14,ct,0.7983821383988114,1.3696900016658236,3,5
peg_insert,15,pos,0.9935246053862054,4.306573234683823,5,6
peg_insert,15,vel,0.7989150110499578,1.0946807730195864,4,6
peg_insert,15,acc,0.40370927763433956,0.20873748597113348,3,6
peg_insert,15,ct,0.8111767294441771,1.3537140557712943,3,5
peg_insert,16,pos,0.9943728378877656,4.2388078922950445,5,6
peg_insert,16,vel,0.8445388239097738,1.1735880428867396,4,6
peg_insert,16,acc,0.41122956127491883,0.2191538161840259,3,6
peg_insert,16,ct,0.8141846800519275,1.4117166186558396,3,5
peg_insert,17,pos,0.9938970843401216,4.166671775050843,5,6
peg_insert,17,vel,0.8758038762514163,1.2189907211446303,4,6
peg_insert,17,acc,0.40474199657044946,0.20782520826381676,3,6
peg_insert,17,ct,0.8209907419959351,1.214535638841843,3,5
peg_insert,18,pos,0.9944569674489181,4.132879911562293,5,6
peg_insert,18,vel,0.8710072987303835,1.2030738485190937,4,6
peg_insert,18,acc,0.3925417960646892,0.195293461987409,3,6
peg_insert,18,ct,0.8130070517678905,1.3889838196435127,3,5
peg_insert,19,pos,0.9949112458181203,4.1078651636773795,5,6
peg_insert,19,vel,0.8699369645820232,1.191773906975632,4,6
peg_insert,19,acc,0.39606127418934817,0.19155762935856835,3,6
peg_insert,19,ct,0.8110860738106166,1.3775799627309377,3,5
peg_insert,20,pos,0.9947928939152972,4.15477594340325,5,6
peg_insert,20,vel,0.8669164513098114,1.1781594639363824,4,6
peg_insert,20,acc,0.39323993413876646,0.18620565379711596,3,6
peg_insert,20,ct,0.806821364758859,1.366742414026406,3,5
peg_insert,21,pos,0.9948583025640697,4.168937893248888,5,6
peg_insert,21,vel,0.8599691128066894,1.1503022657076787,4,6
