task,layer,slot,n_pcs_90,n_pcs_95
reach,10,3,32,60
reach,10,4,32,61
reach,10,5,32,61
reach,10,6,31,58
reach,10,7,24,48
reach,11,0,28,56
reach,11,1,35,64
reach,11,2,27,53
reach,11,3,34,64
reach,11,4,29,59
reach,11,5,35,64
reach,11,6,32,62
reach,11,7,25,52
reach,12,0,32,63
reach,12,1,35,64
reach,12,2,27,52
reach,12,3,34,64
reach,12,4,24,51
reach,12,5,34,64
reach,12,6,34,64
reach,12,7,25,50
reach,13,0,33,64
reach,13,1,37,64
reach,13,2,28,55
reach,13,3,37,64
reach,13,4,24,52
reach,13,5,35,64
reach,13,6,35,64
reach,13,7,25,51
reach,14,0,32,63
reach,14,1,37,64
reach,14,2,27,54
reach,14,3,37,64
reach,14,4,25,54
reach,14,5,35,64
reach,14,6,34,64
reach,14,7,24,49
reach,15,0,30,60
reach,15,1,35,64
reach,15,2,25,50
reach,15,3,34,64
reach,15,4,24,52
reach,15,5,33,64
reach,15,6,30,61
reach,15,7,21,46
reach,16,0,30,62
reach,16,1,36,64
reach,16,2,25,52
reach,16,3,36,64
reach,16,4,26,56
reach,16,5,33,64
reach,16,6,32,64
reach,16,7,21,45
reach,17,0,30,61
reach,17,1,36,64
reach,17,2,27,55
reach,17,3,36,64
reach,17,4,28,59
reach,17,5,35,64
reach,17,6,32,64
reach,17,7,21,45
reach,18,0,32,64
reach,18,1,37,64
reach,18,2,25,53
reach,18,3,37,64
reach,18,4,29,61
reach,18,5,36,64
reach,18,6,33,64
reach,18,7,20,42
reach,19,0,31,64
reach,19,1,36,64
reach,19,2,25,52
reach,19,3,37,64
reach,19,4,29,62
reach,19,5,35,64
reach,19,6,34,64
reach,19,7,19,42
reach,20,0,29,63
reach,20,1,37,64
reach,20,2,26,54
reach,20,3,37,64
reach,20,4,30,64
reach,20,5,35,64
reach,20,6,33,64
reach,20,7,19,43
reach,21,0,30,64
reach,21,1,39,64
reach,21,2,28,58
reach,21,3,40,64
reach,21,4,32,64
reach,21,5,38,64
reach,21,6,36,64
reach,21,7,20,45
reach,22,0,27,58
reach,22,1,35,64
reach,22,2,26,54
reach,22,3,36,64
reach,22,4,28,62
reach,22,5,32,64
reach,22,6,34,64
reach,22,7,20,42
reach,23,0,23,49
reach,23,1,25,54
reach,23,2,20,42
reach,23,3,25,53
reach,23,4,20,46
reach,23,5,23,52
reach,23,6,25,52
reach,23,7,16,33
drawer,0,0,9,19
drawer,0,1,9,19
drawer,0,2,9,19
drawer,0,3,9,19
drawer,0,4,9,18
drawer,0,5,9,18
drawer,0,6,9,18
drawer,0,7,9,18
drawer,1,0,10,24
drawer,1,1,10,24
drawer,1,2,10,24
drawer,1,3,11,24
drawer,1,4,11,24
drawer,1,5,11,24
drawer,1,6,11,24
drawer,1,7,11,24
drawer,2,0,3,5
drawer,2,1,2,5
drawer,2,2,2,5
drawer,2,3,2,5
drawer,2,4,2,5
drawer,2,5,2,5
drawer,2,6,2,5
drawer,2,7,2,5
drawer,3,0,2,4
drawer,3,1,2,4
