task,layer,slot,target,r2_mean,r2_std
push,4,2,ee_position,0.8647777676582337,0.1289201198093664
push,4,2,ee_velocity,0.7212979912757873,0.07474517400018578
push,4,2,ee_acceleration,-0.5305807828903198,0.19097749282229062
push,4,2,contact_flag,0.18594805598258973,0.22377279378760997
push,4,2,contact_force_log1p_mag,-0.18913251161575317,0.5905246739350255
push,4,3,ee_position,0.8639375448226929,0.1436566308570443
push,4,3,ee_velocity,0.7081437587738038,0.08130869398368182
push,4,3,ee_acceleration,-0.48970201313495637,0.14663765747660643
push,4,3,contact_flag,0.3238532692193985,0.20338402248142992
push,4,3,contact_force_log1p_mag,-0.042246448993682864,0.586178541892385
push,4,4,ee_position,0.8620458602905273,0.14060031268472695
push,4,4,ee_velocity,0.7564478874206543,0.05752093120837043
push,4,4,ee_acceleration,-0.5460365414619446,0.20963298978751693
push,4,4,contact_flag,0.27912482619285583,0.19369162272042567
push,4,4,contact_force_log1p_mag,-0.13382405042648315,0.6294427393571983
push,4,5,ee_position,0.8696826934814453,0.13666751789118167
push,4,5,ee_velocity,0.7755282759666443,0.05460241460498848
push,4,5,ee_acceleration,-0.46315591037273407,0.18667924011523632
push,4,5,contact_flag,0.3538462817668915,0.13947505746090488
push,4,5,contact_force_log1p_mag,-0.08394657373428345,0.5161001983819044
push,4,6,ee_position,0.8701347589492798,0.14275537774292996
push,4,6,ee_velocity,0.818160605430603,0.05305820213525947
push,4,6,ee_acceleration,-0.4903083682060242,0.24753180493244953
push,4,6,contact_flag,0.3783592525869608,0.20754999175324274
push,4,6,contact_force_log1p_mag,0.06640222072601318,0.47468562711499956
push,4,7,ee_position,0.8699891567230225,0.13743998512953462
push,4,7,ee_velocity,0.8746007680892944,0.043497872458866556
push,4,7,ee_acceleration,-0.2948596581816673,0.20013234044264536
push,4,7,contact_flag,0.45178758502006533,0.17527169820490282
push,4,7,contact_force_log1p_mag,0.2143593192100525,0.3375377947998422
push,5,0,ee_position,0.8220815181732177,0.20385667025134221
push,5,0,ee_velocity,0.7566586852073669,0.07960579950351891
push,5,0,ee_acceleration,-0.4686486154794693,0.17581395901070246
push,5,0,contact_flag,0.20982590913772584,0.25434879049570364
push,5,0,contact_force_log1p_mag,-0.17810187339782715,0.634477017251156
push,5,1,ee_position,0.8354475855827331,0.19017780150331776
push,5,1,ee_velocity,0.77490074634552,0.04511851862808186
push,5,1,ee_acceleration,-0.512948876619339,0.17585764149097594
push,5,1,contact_flag,0.2582370162010193,0.2379664441121614
push,5,1,contact_force_log1p_mag,-0.11175591945648193,0.5725761498700054
push,5,2,ee_position,0.8387439846992493,0.18323921910423746
push,5,2,ee_velocity,0.7488569498062134,0.06257257472276526
push,5,2,ee_acceleration,-0.5640236794948578,0.18639856156165838
push,5,2,contact_flag,0.35857203006744387,0.19437907481538474
push,5,2,contact_force_log1p_mag,0.023179912567138673,0.5551420839349238
push,5,3,ee_position,0.8382138013839722,0.18108566834911988
push,5,3,ee_velocity,0.7467152237892151,0.08310737286447285
push,5,3,ee_acceleration,-0.5603774011135101,0.2209456406649227
push,5,3,contact_flag,0.3645973801612854,0.22263514814799737
push,5,3,contact_force_log1p_mag,0.09241369962692261,0.5058035578487229
push,5,4,ee_position,0.8248373568058014,0.20610411307917995
push,5,4,ee_velocity,0.783207356929779,0.057597452173743915
push,5,4,ee_acceleration,-0.5002937167882919,0.22360946531580117
push,5,4,contact_flag,0.32581513524055483,0.19280220765126582
push,5,4,contact_force_log1p_mag,-0.005365192890167236,0.5313524190583655
push,5,5,ee_position,0.8430205285549164,0.18039591703197053
push,5,5,ee_velocity,0.8153656244277954,0.05546399216839136
push,5,5,ee_acceleration,-0.4320579096674919,0.22280389045908203
push,5,5,contact_flag,0.3692693471908569,0.15182093737719857
push,5,5,contact_force_log1p_mag,-0.061799156665802005,0.5528360868074845
push,5,6,ee_position,0.8431222379207611,0.18067705590126734
push,5,6,ee_velocity,0.8388759732246399,0.055920602195522036
push,5,6,ee_acceleration,-0.36592931151390073,0.21999641396161085
push,5,6,contact_flag,0.3755243718624115,0.20362354370688313
push,5,6,contact_force_log1p_mag,0.0979151964187622,0.43467352271275905
push,5,7,ee_position,0.8408186733722687,0.18855943443352594
push,5,7,ee_velocity,0.8547034978866577,0.053660835823428725
push,5,7,ee_acceleration,-0.18622549548745154,0.17871428757259136
push,5,7,contact_flag,0.4399498701095581,0.1784786796903647
push,5,7,contact_force_log1p_mag,0.2009926438331604,0.3304658254911581
push,6,0,ee_position,0.8451542437076569,0.18227220647172473
push,6,0,ee_velocity,0.8059928894042969,0.05519144028858138
push,6,0,ee_acceleration,-0.5041297674179077,0.2908717935692345
push,6,0,contact_flag,0.22405428290367127,0.24928321727561037
push,6,0,contact_force_log1p_mag,-0.10880749225616455,0.5443228585961836
push,6,1,ee_position,0.8308511018753052,0.2110023586735041
push,6,1,ee_velocity,0.7939170360565185,0.05366127921326235
push,6,1,ee_acceleration,-0.5267219841480255,0.16454808808388544
push,6,1,contact_flag,0.29784793853759767,0.24669774217216756
push,6,1,contact_force_log1p_mag,0.0049028158187866214,0.5471534036053307
push,6,2,ee_position,0.8460331499576569,0.1894452429051818
