task,layer,target,scheme,scheme_param,r2_mean,r2_std
push,13,contact_force_log1p_mag,mean_over_slots,-1,0.2636203050613403,0.32070368522494574
push,13,contact_force_log1p_mag,single_slot,0,0.3091085910797119,0.30055849445996713
push,13,contact_force_log1p_mag,single_slot,3,0.1563555359840393,0.4000255518287178
push,13,contact_force_log1p_mag,single_slot,7,0.2936769962310791,0.34423638391365746
push,13,contact_force_log1p_mag,prefix,0,0.30911835432052615,0.30068435253586356
push,13,contact_force_log1p_mag,prefix,3,-0.7081315994262696,1.0359371521803278
push,13,contact_force_log1p_mag,prefix,7,-0.6153419137001037,0.8707958419471821
push,13,contact_force_log1p_mag,reverse,-1,-0.6254453182220459,0.8885182724398331
push,13,contact_force_log1p_mag,random_global_perm,-1,-0.6167816758155823,0.8852452647630783
push,13,contact_force_log1p_mag,random_per_sample,-2,-0.26808574199676516,0.6342559318439537
push,15,ee_acceleration,baseline_full,-1,-1.1933561325073243,0.2705494428591924
push,15,ee_acceleration,mean_over_slots,-1,-0.48729795813560484,0.3451115405835589
push,15,ee_acceleration,single_slot,0,-0.3312454789876938,0.17957319803470675
push,15,ee_acceleration,single_slot,3,-0.2621256157755852,0.15822267137083423
push,15,ee_acceleration,single_slot,7,0.06904725114582107,0.18353199714132992
push,15,ee_acceleration,prefix,0,-0.3314712315797806,0.17990146138370622
push,15,ee_acceleration,prefix,3,-2.0837117433547974,0.4718226857685788
push,15,ee_acceleration,prefix,7,-1.1933561325073243,0.2705494428591924
push,15,ee_acceleration,reverse,-1,-1.1957963824272155,0.2789472813123897
push,15,ee_acceleration,random_global_perm,-1,-1.1884299635887146,0.2657272982138731
push,15,ee_acceleration,random_per_sample,-2,-1.426693820953369,0.35538626999263173
push,15,obj_acceleration,baseline_full,-1,-2.7620332717895506,0.8044848202480391
push,15,obj_acceleration,mean_over_slots,-1,-0.8458356261253357,0.4763825476655242
push,15,obj_acceleration,single_slot,0,-0.6474303215742111,0.41165392946293383
push,15,obj_acceleration,single_slot,3,-0.5951087146997451,0.370401783751205
push,15,obj_acceleration,single_slot,7,-0.43625601232051847,0.3008072576279538
push,15,obj_acceleration,prefix,0,-0.6476990520954132,0.41173767437688796
push,15,obj_acceleration,prefix,3,-3.477744388580322,1.5784892947897948
