task,layer,target,condition_type,condition_value,fold,r2,n_test_windows
push,1,contact_force_log1p_mag,phase,phase=0,2,-0.44870781898498535,1431
push,1,contact_force_log1p_mag,phase,phase=0,3,0.15322399139404297,1431
push,1,contact_force_log1p_mag,phase,phase=0,4,0.3192330002784729,1431
push,1,contact_force_log1p_mag,phase,phase=7,0,1.0,626
push,1,contact_force_log1p_mag,phase,phase=7,1,1.0,674
push,1,contact_force_log1p_mag,phase,phase=7,2,1.0,655
push,1,contact_force_log1p_mag,phase,phase=7,3,1.0,668
push,1,contact_force_log1p_mag,phase,phase=7,4,1.0,668
push,1,contact_force_log1p_mag,phase,phase=5,0,-7.931628227233887,653
push,1,contact_force_log1p_mag,phase,phase=5,1,-5.761343002319336,651
push,1,contact_force_log1p_mag,phase,phase=5,2,-5.043390274047852,650
push,1,contact_force_log1p_mag,phase,phase=5,3,-3.48876953125,604
push,1,contact_force_log1p_mag,phase,phase=5,4,-7.512087821960449,652
push,2,ee_position,all,all,0,0.8754035234451294,2760
push,2,ee_position,all,all,1,0.9303099513053894,2760
push,2,ee_position,all,all,2,0.9335297346115112,2760
push,2,ee_position,all,all,3,0.9388630390167236,2760
push,2,ee_position,all,all,4,0.8738116025924683,2616
push,2,ee_position,contact,0,0,0.9098271727561951,2035
push,2,ee_position,contact,0,1,0.9251973628997803,2048
push,2,ee_position,contact,0,2,0.9182260632514954,2080
push,2,ee_position,contact,0,3,0.947845995426178,2088
push,2,ee_position,contact,0,4,0.9266521334648132,2035
push,2,ee_position,contact,1,0,0.8408473134040833,674
push,2,ee_position,contact,1,1,0.9387244582176208,673
push,2,ee_position,contact,1,2,0.9424651861190796,675
push,2,ee_position,contact,1,3,0.7977563738822937,673
push,2,ee_position,contact,1,4,0.9014843702316284,675
push,2,ee_position,contact_phase3,pre,0,0.8730007410049438,626
push,2,ee_position,contact_phase3,pre,1,0.9083122611045837,589
push,2,ee_position,contact_phase3,pre,2,0.9428344964981079,626
push,2,ee_position,contact_phase3,pre,3,0.9056059122085571,589
push,2,ee_position,contact_phase3,pre,4,0.9305450320243835,625
push,2,ee_position,contact_phase3,during,0,0.9399852752685547,768
push,2,ee_position,contact_phase3,during,1,0.9328532218933105,771
push,2,ee_position,contact_phase3,during,2,0.7876784801483154,766
push,2,ee_position,contact_phase3,during,3,0.837613582611084,770
push,2,ee_position,contact_phase3,during,4,0.9438234567642212,767
push,2,ee_position,contact_phase3,post,0,0.9216685891151428,1329
push,2,ee_position,contact_phase3,post,1,0.882632851600647,1396
push,2,ee_position,contact_phase3,post,2,0.9094897508621216,1338
push,2,ee_position,contact_phase3,post,3,0.9057934880256653,1358
push,2,ee_position,contact_phase3,post,4,0.867132306098938,1338
push,2,ee_position,phase,phase=0,0,0.8958584666252136,1431
push,2,ee_position,phase,phase=0,1,0.8991068005561829,1431
push,2,ee_position,phase,phase=0,2,0.9283899068832397,1431
push,2,ee_position,phase,phase=0,3,0.8503379821777344,1431
push,2,ee_position,phase,phase=0,4,0.9236412048339844,1431
push,2,ee_position,phase,phase=7,0,0.1574815958738327,626
push,2,ee_position,phase,phase=7,1,0.2991567552089691,674
push,2,ee_position,phase,phase=7,2,0.25208762288093567,655
push,2,ee_position,phase,phase=7,3,-0.4494151771068573,668
push,2,ee_position,phase,phase=7,4,0.04789407551288605,668
push,2,ee_position,phase,phase=5,0,0.8420100212097168,653
push,2,ee_position,phase,phase=5,1,0.9303173422813416,651
push,2,ee_position,phase,phase=5,2,0.9304173588752747,650
push,2,ee_position,phase,phase=5,3,0.934517502784729,604
push,2,ee_position,phase,phase=5,4,0.9460434317588806,652
push,2,ee_velocity,all,all,0,0.2794010043144226,2760
push,2,ee_velocity,all,all,1,0.6384475827217102,2760
push,2,ee_velocity,all,all,2,0.5837905406951904,2760
push,2,ee_velocity,all,all,3,0.7293892502784729,2760
push,2,ee_velocity,all,all,4,0.5163381695747375,2616
push,2,ee_velocity,contact,0,0,0.6220994591712952,2035
push,2,ee_velocity,contact,0,1,0.7030541896820068,2048
push,2,ee_velocity,contact,0,2,0.5649381875991821,2080
push,2,ee_velocity,contact,0,3,0.6533333659172058,2088
push,2,ee_velocity,contact,0,4,0.6902722716331482,2035
push,2,ee_velocity,contact,1,0,-0.037525538355112076,674
push,2,ee_velocity,contact,1,1,0.15742549300193787,673
push,2,ee_velocity,contact,1,2,0.2803049385547638,675
push,2,ee_velocity,contact,1,3,-0.042733464390039444,673
push,2,ee_velocity,contact,1,4,0.18831683695316315,675
push,2,ee_velocity,contact_phase3,pre,0,-0.07629556208848953,626
push,2,ee_velocity,contact_phase3,pre,1,0.7432953119277954,589
push,2,ee_velocity,contact_phase3,pre,2,0.6200871467590332,626
push,2,ee_velocity,contact_phase3,pre,3,0.6475968360900879,589
push,2,ee_velocity,contact_phase3,pre,4,0.5618188977241516,625
push,2,ee_velocity,contact_phase3,during,0,-0.0843472108244896,768
push,2,ee_velocity,contact_phase3,during,1,0.3996464014053345,771
