task,layer,r2_self,r2_persist,r2_self_delta,ee_pos_next,ee_vel_next,ee_acc_next,obj_vel_next
nut_thread,7,0.5549023120894835,0.4206760656028815,0.13422624648660197,0.8295994576862122,-0.03729350788132568,-0.01640417545330841,-0.07980822470211502
nut_thread,8,0.5388518985214702,0.3694310616559048,0.16942083686556542,0.8295853568151259,-0.019810558636764064,-0.039133530774269065,-0.05244574426630488
nut_thread,9,0.5861606223643585,0.4668074158761907,0.11935320648816783,0.8919506510724059,0.009578217031332548,-0.008741925642322679,-0.05990357921613332
nut_thread,10,0.5573766958285786,0.41274616457461644,0.1446305312539622,0.9072982371406431,0.01398634746545846,-0.013825080387644517,-0.0825258283487258
nut_thread,11,0.5266540072269095,0.3792575062662874,0.14739650096062207,0.8962564773099154,-0.0019422233323715954,-0.020805190325849487,-0.08338447594448528
nut_thread,12,0.5030759842151202,0.325544147951193,0.1775318362639272,0.9059171295442902,-0.032185973116395594,-0.013570718008416582,-0.09440378675673222
nut_thread,13,0.5078058248781261,0.3403624846764258,0.16744334020170026,0.9111564516293554,0.001134747907231004,-0.015908790319031363,-0.06727626532685771
nut_thread,14,0.4795709811290222,0.32162442255763735,0.15794655857138484,0.9172567854280829,-0.010243316716348705,-0.015965028961876016,-0.07269372693178666
nut_thread,15,0.469008521723717,0.3176467002500264,0.1513618214736906,0.916564418516468,-0.03305378143973092,-0.009890800774723596,-0.08048972006195676
nut_thread,16,0.4449324007570894,0.2894013449088645,0.1555310558482249,0.9159242733122431,-0.025194088833897954,-0.004227675550899868,-0.06185309159050423
nut_thread,17,0.4546549610813112,0.29859357317780577,0.15606138790350543,0.9194814301628976,-0.003928886671612064,-0.004813406321660718,-0.061202441740355606
nut_thread,18,0.44517012568495185,0.2916661031985157,0.15350402248643613,0.9131585126999446,0.009191391621138134,0.005523741310454633,-0.05385671688995597
nut_thread,19,0.4321018287700298,0.2721059908475001,0.1599958379225297,0.9167646690675332,0.02037886226741581,0.011275393131101152,-0.039895201423479465
nut_thread,20,0.44283925873147356,0.286540895880645,0.15629836285082854,0.9096894155872063,0.01859520730236275,-0.0016212948903249202,-0.04686765752571387
nut_thread,21,0.45004405164440486,0.3008487291925266,0.14919532245187828,0.9137810116134905,0.025524419871115533,0.007224770773211486,-0.07407705283934218
nut_thread,22,0.4757611650905408,0.34516494295794264,0.13059622213259814,0.9142325425155695,0.011702338330288664,0.005442566665593729,-0.0774020464607783
nut_thread,23,0.5014287188963367,0.3934000131380373,0.10802870575829937,0.9228013923822589,0.007638392551838069,-0.00566759702902031,-0.07981919199445042
