task,layer,rsa_vel_tan,rsa_acc_tan,rsa_acc_tan_partial
peg_insert,23,0.1498352298047124,0.17824815360706064,0.1415234339593202
nut_thread,0,0.04348313935462113,0.06539689843598759,0.055783252040841294
nut_thread,1,0.027970540149445833,0.040059999065966335,0.03488666324940818
nut_thread,2,0.029444380623968175,0.04908653501949946,0.04489405209030174
nut_thread,3,0.044204472580646505,0.06715861964502556,0.060044050952013275
nut_thread,4,0.0648540071195109,0.10081629853507033,0.08972580873989783
nut_thread,5,0.07584517154098233,0.10854953645615943,0.095530438204321
nut_thread,6,0.08351792394271738,0.11523049035915914,0.09926790473947177
nut_thread,7,0.07808700100448447,0.10909230819510646,0.09402200940805336
nut_thread,8,0.07672621074088787,0.11073884039029719,0.09793137361000925
nut_thread,9,0.11329820489013423,0.13427050252423084,0.11477236864389206
nut_thread,10,0.11421644625068904,0.13085321986022377,0.11144568826619022
nut_thread,11,0.1262559569586179,0.13088854850979217,0.10925774841718554
nut_thread,12,0.12564371109472433,0.1278642485145057,0.10586569107909484
nut_thread,13,0.11835152037593288,0.12714698767836807,0.1057544770653123
nut_thread,14,0.11275737469643721,0.12407705668748457,0.10361938444303874
nut_thread,15,0.11619133911412816,0.13356054179102442,0.11045661536959564
nut_thread,16,0.11528321851354192,0.1316156319621215,0.10932272075042619
nut_thread,17,0.10786313106118403,0.1279920348758169,0.1060594657309679
nut_thread,18,0.1226315744433689,0.13434476131822426,0.11031619123478914
nut_thread,19,0.1266755342572286,0.14031236283691648,0.11540140538488729
nut_thread,20,0.11808286476542364,0.13330224469187552,0.10973919110276284
nut_thread,21,0.11978329370412091,0.13031394365185542,0.10595826633706532
nut_thread,22,0.11032449119149602,0.12297278330668995,0.10009323265015767
nut_thread,23,0.10261721216983348,0.11329672580360121,0.09295369697564038
