family,target,task,variant,model_label,peak_r2,peak_layer
contact_occupancy,contact_flag__positive_fraction,drawer,variant_A_videomae_large,VideoMAE A,0.9218839526176452,4
contact_occupancy,contact_flag__positive_fraction,drawer,variant_B_videomae_large,VideoMAE B,0.9105466604232788,1
contact_occupancy,contact_flag__positive_fraction,drawer,variant_A_dinov2_large,DINOv2 A,0.8976152777671814,19
contact_occupancy,contact_flag__positive_fraction,reach,variant_A,V-JEPA A,,-1
contact_occupancy,contact_flag__positive_fraction,reach,variant_B,V-JEPA B,,-1
contact_occupancy,contact_flag__positive_fraction,reach,variant_A_videomae_large,VideoMAE A,,-1
contact_occupancy,contact_flag__positive_fraction,reach,variant_B_videomae_large,VideoMAE B,,-1
contact_occupancy,contact_flag__positive_fraction,reach,variant_A_dinov2_large,DINOv2 A,,-1
contact_occupancy,contact_flag__positive_fraction,peg_insert,variant_A,V-JEPA A,1.0,0
contact_occupancy,contact_flag__positive_fraction,peg_insert,variant_B,V-JEPA B,,-1
contact_occupancy,contact_flag__positive_fraction,peg_insert,variant_A_videomae_large,VideoMAE A,,-1
contact_occupancy,contact_flag__positive_fraction,peg_insert,variant_B_videomae_large,VideoMAE B,,-1
contact_occupancy,contact_flag__positive_fraction,peg_insert,variant_A_dinov2_large,DINOv2 A,1.0,0
contact_occupancy,contact_flag__positive_fraction,nut_thread,variant_A,V-JEPA A,1.0,0
contact_occupancy,contact_flag__positive_fraction,nut_thread,variant_B,V-JEPA B,,-1
contact_occupancy,contact_flag__positive_fraction,nut_thread,variant_A_videomae_large,VideoMAE A,,-1
contact_occupancy,contact_flag__positive_fraction,nut_thread,variant_B_videomae_large,VideoMAE B,,-1
contact_occupancy,contact_flag__positive_fraction,nut_thread,variant_A_dinov2_large,DINOv2 A,1.0,0
contact_force_integral,contact_force_log1p_mag__integral,push,variant_A,V-JEPA A,0.8504440903663635,21
contact_force_integral,contact_force_log1p_mag__integral,push,variant_B,V-JEPA B,0.8314271092414856,19
contact_force_integral,contact_force_log1p_mag__integral,push,variant_A_videomae_large,VideoMAE A,0.8157920241355896,21
contact_force_integral,contact_force_log1p_mag__integral,push,variant_B_videomae_large,VideoMAE B,0.8235828757286072,22
contact_force_integral,contact_force_log1p_mag__integral,push,variant_A_dinov2_large,DINOv2 A,0.7655067682266236,21
contact_force_integral,contact_force_log1p_mag__integral,strike,variant_A,V-JEPA A,0.939908790588379,21
contact_force_integral,contact_force_log1p_mag__integral,strike,variant_B,V-JEPA B,0.7898928999900818,3
contact_force_integral,contact_force_log1p_mag__integral,strike,variant_A_videomae_large,VideoMAE A,,-1
contact_force_integral,contact_force_log1p_mag__integral,strike,variant_B_videomae_large,VideoMAE B,,-1
contact_force_integral,contact_force_log1p_mag__integral,strike,variant_A_dinov2_large,DINOv2 A,0.8758320093154908,20
contact_force_integral,contact_force_log1p_mag__integral,drawer,variant_A,V-JEPA A,0.9091320753097534,18
contact_force_integral,contact_force_log1p_mag__integral,drawer,variant_B,V-JEPA B,0.8195731043815613,1
contact_force_integral,contact_force_log1p_mag__integral,drawer,variant_A_videomae_large,VideoMAE A,0.9203875899314881,19
contact_force_integral,contact_force_log1p_mag__integral,drawer,variant_B_videomae_large,VideoMAE B,0.9040096402168274,3
contact_force_integral,contact_force_log1p_mag__integral,drawer,variant_A_dinov2_large,DINOv2 A,0.8646925091743469,20
contact_force_integral,contact_force_log1p_mag__integral,reach,variant_A,V-JEPA A,,-1
contact_force_integral,contact_force_log1p_mag__integral,reach,variant_B,V-JEPA B,,-1
contact_force_integral,contact_force_log1p_mag__integral,reach,variant_A_videomae_large,VideoMAE A,,-1
contact_force_integral,contact_force_log1p_mag__integral,reach,variant_B_videomae_large,VideoMAE B,,-1
contact_force_integral,contact_force_log1p_mag__integral,reach,variant_A_dinov2_large,DINOv2 A,,-1
contact_force_integral,contact_force_log1p_mag__integral,peg_insert,variant_A,V-JEPA A,0.8905735850334168,22
contact_force_integral,contact_force_log1p_mag__integral,peg_insert,variant_B,V-JEPA B,,-1
contact_force_integral,contact_force_log1p_mag__integral,peg_insert,variant_A_videomae_large,VideoMAE A,,-1
