task,layer,variable,var_type,r2_mean,r2_std,n_samples
push,21,ee_acceleration,dynamic,0.750855,0.034988,1500
push,21,ee_angular_velocity,dynamic,0.960516,0.005865,1500
push,21,object_velocity,dynamic,0.366427,0.369637,1500
push,21,object_acceleration,dynamic,0.540991,0.054928,1500
push,21,object_angular_velocity,dynamic,0.546039,0.046192,1500
push,21,ee_to_object_distance,dynamic,0.581622,0.040005,1500
push,21,object_to_target_distance,dynamic,0.0,0.0,1500
push,21,object_on_surface,dynamic,0.668963,0.037362,1500
push,21,contact_flag,dynamic,0.0,0.0,1500
push,21,contact_force,dynamic,0.0,0.0,1500
push,21,phase,dynamic,0.0,0.0,1500
push,22,object_0_mass,static,0.15066,0.045345,1500
push,22,object_0_static_friction,static,0.004827,0.017001,1500
push,22,object_0_dynamic_friction,static,0.031604,0.027851,1500
push,22,surface_static_friction,static,0.03339,0.030326,1500
push,22,surface_dynamic_friction,static,0.146969,0.036651,1500
push,22,ee_velocity,dynamic,0.97713,0.00366,1500
push,22,ee_acceleration,dynamic,0.748308,0.028803,1500
push,22,ee_angular_velocity,dynamic,0.958956,0.006534,1500
push,22,object_velocity,dynamic,0.37511,0.383856,1500
push,22,object_acceleration,dynamic,0.540318,0.050436,1500
push,22,object_angular_velocity,dynamic,0.554744,0.050338,1500
push,22,ee_to_object_distance,dynamic,0.56826,0.042433,1500
push,22,object_to_target_distance,dynamic,0.0,0.0,1500
push,22,object_on_surface,dynamic,0.667628,0.040552,1500
push,22,contact_flag,dynamic,0.0,0.0,1500
push,22,contact_force,dynamic,0.0,0.0,1500
push,22,phase,dynamic,0.0,0.0,1500
push,23,object_0_mass,static,0.158199,0.034194,1500
push,23,object_0_static_friction,static,0.012364,0.010433,1500
push,23,object_0_dynamic_friction,static,0.034869,0.028945,1500
push,23,surface_static_friction,static,0.036727,0.038232,1500
push,23,surface_dynamic_friction,static,0.147537,0.040208,1500
push,23,ee_velocity,dynamic,0.979057,0.003229,1500
push,23,ee_acceleration,dynamic,0.752799,0.029689,1500
push,23,ee_angular_velocity,dynamic,0.96145,0.007666,1500
push,23,object_velocity,dynamic,0.38319,0.391778,1500
push,23,object_acceleration,dynamic,0.546839,0.047429,1500
push,23,object_angular_velocity,dynamic,0.565953,0.053279,1500
push,23,ee_to_object_distance,dynamic,0.568911,0.033886,1500
push,23,object_to_target_distance,dynamic,0.0,0.0,1500
push,23,object_on_surface,dynamic,0.667519,0.04796,1500
push,23,contact_flag,dynamic,0.0,0.0,1500
push,23,contact_force,dynamic,0.0,0.0,1500
push,23,phase,dynamic,0.0,0.0,1500
push,24,object_0_mass,static,0.161816,0.031326,1500
push,24,object_0_static_friction,static,0.016214,0.006109,1500
push,24,object_0_dynamic_friction,static,0.033679,0.022254,1500
push,24,surface_static_friction,static,0.0456,0.039172,1500
push,24,surface_dynamic_friction,static,0.151475,0.035329,1500
push,24,ee_velocity,dynamic,0.979685,0.003697,1500
push,24,ee_acceleration,dynamic,0.790412,0.026092,1500
push,24,ee_angular_velocity,dynamic,0.962088,0.010513,1500
push,24,object_velocity,dynamic,0.403392,0.36078,1500
push,24,object_acceleration,dynamic,0.557876,0.047269,1500
push,24,object_angular_velocity,dynamic,0.559406,0.048848,1500
push,24,ee_to_object_distance,dynamic,0.566538,0.02168,1500
push,24,object_to_target_distance,dynamic,0.0,0.0,1500
push,24,object_on_surface,dynamic,0.672616,0.051009,1500
push,24,contact_flag,dynamic,0.0,0.0,1500
push,24,contact_force,dynamic,0.0,0.0,1500
push,24,phase,dynamic,0.0,0.0,1500
push,25,object_0_mass,static,0.153623,0.051226,1500
push,25,object_0_static_friction,static,0.021893,0.009192,1500
push,25,object_0_dynamic_friction,static,0.031199,0.034604,1500
push,25,surface_static_friction,static,0.050672,0.039207,1500
push,25,surface_dynamic_friction,static,0.154839,0.024769,1500
push,25,ee_velocity,dynamic,0.979641,0.003476,1500
push,25,ee_acceleration,dynamic,0.800134,0.018896,1500
push,25,ee_angular_velocity,dynamic,0.96519,0.008293,1500
push,25,object_velocity,dynamic,0.399444,0.369801,1500
push,25,object_acceleration,dynamic,0.565611,0.036137,1500
push,25,object_angular_velocity,dynamic,0.581864,0.034504,1500
push,25,ee_to_object_distance,dynamic,0.526827,0.046074,1500
push,25,object_to_target_distance,dynamic,0.0,0.0,1500
push,25,object_on_surface,dynamic,0.674062,0.046116,1500
push,25,contact_flag,dynamic,0.0,0.0,1500
push,25,contact_force,dynamic,0.0,0.0,1500
push,25,phase,dynamic,0.0,0.0,1500
push,26,object_0_mass,static,0.137798,0.055314,1500
push,26,object_0_static_friction,static,0.010607,0.010212,1500
push,26,object_0_dynamic_friction,static,0.007248,0.034177,1500
