task,layer,param,fold,r2,n_train_eps,n_test_eps
push,13,object_0_mass,2,-0.4861588478088379,160,40
push,13,object_0_mass,3,-0.8353840112686157,160,40
push,13,object_0_mass,4,-1.0837483406066895,160,40
push,13,object_0_static_friction,0,-0.7471894025802612,160,40
push,13,object_0_static_friction,1,-0.01611316204071045,160,40
push,13,object_0_static_friction,2,-0.5564712285995483,160,40
push,13,object_0_static_friction,3,-0.5818684101104736,160,40
push,13,object_0_static_friction,4,-0.7188247442245483,160,40
push,13,object_0_dynamic_friction,0,-2.3504340648651123,160,40
push,13,object_0_dynamic_friction,1,-1.5636241436004639,160,40
push,13,object_0_dynamic_friction,2,-0.8477798700332642,160,40
push,13,object_0_dynamic_friction,3,-1.5937843322753906,160,40
push,13,object_0_dynamic_friction,4,-1.1561832427978516,160,40
push,13,surface_static_friction,0,-1.5443806648254395,160,40
push,13,surface_static_friction,1,-1.7418065071105957,160,40
push,13,surface_static_friction,2,-1.8615038394927979,160,40
push,13,surface_static_friction,3,-1.428049087524414,160,40
push,13,surface_static_friction,4,-0.45765411853790283,160,40
push,13,surface_dynamic_friction,0,-0.42684948444366455,160,40
push,13,surface_dynamic_friction,1,-0.96744704246521,160,40
push,13,surface_dynamic_friction,2,-2.1271774768829346,160,40
push,13,surface_dynamic_friction,3,-1.279728651046753,160,40
push,13,surface_dynamic_friction,4,-0.30698275566101074,160,40
push,14,object_0_mass,0,-0.603136420249939,160,40
push,14,object_0_mass,1,-1.005403757095337,160,40
push,14,object_0_mass,2,-0.6397644281387329,160,40
push,14,object_0_mass,3,-0.8254525661468506,160,40
push,14,object_0_mass,4,-1.3052737712860107,160,40
push,14,object_0_static_friction,0,-1.2855644226074219,160,40
push,14,object_0_static_friction,1,-0.36334991455078125,160,40
push,14,object_0_static_friction,2,-0.8293465375900269,160,40
push,14,object_0_static_friction,3,-0.7027562856674194,160,40
push,14,object_0_static_friction,4,-0.7800559997558594,160,40
push,14,object_0_dynamic_friction,0,-2.208751916885376,160,40
push,14,object_0_dynamic_friction,1,-1.2192707061767578,160,40
push,14,object_0_dynamic_friction,2,-0.4934194087982178,160,40
push,14,object_0_dynamic_friction,3,-1.2349200248718262,160,40
push,14,object_0_dynamic_friction,4,-0.7351012229919434,160,40
push,14,surface_static_friction,0,-2.308228015899658,160,40
push,14,surface_static_friction,1,-1.4109740257263184,160,40
push,14,surface_static_friction,2,-1.0809874534606934,160,40
push,14,surface_static_friction,3,-0.9243935346603394,160,40
push,14,surface_static_friction,4,-0.6798338890075684,160,40
push,14,surface_dynamic_friction,0,-0.8618931770324707,160,40
push,14,surface_dynamic_friction,1,-0.7710391283035278,160,40
push,14,surface_dynamic_friction,2,-1.7552294731140137,160,40
push,14,surface_dynamic_friction,3,-0.7070953845977783,160,40
push,14,surface_dynamic_friction,4,-0.29886817932128906,160,40
push,15,object_0_mass,0,-1.904151201248169,160,40
push,15,object_0_mass,1,-1.1921980381011963,160,40
push,15,object_0_mass,2,-0.7495676279067993,160,40
push,15,object_0_mass,3,-0.6899185180664062,160,40
push,15,object_0_mass,4,-1.0517501831054688,160,40
push,15,object_0_static_friction,0,-1.2231144905090332,160,40
push,15,object_0_static_friction,1,-0.3786475658416748,160,40
push,15,object_0_static_friction,2,-0.6836663484573364,160,40
push,15,object_0_static_friction,3,-0.7135075330734253,160,40
push,15,object_0_static_friction,4,-0.8824605941772461,160,40
push,15,object_0_dynamic_friction,0,-1.8378796577453613,160,40
push,15,object_0_dynamic_friction,1,-0.7092182636260986,160,40
push,15,object_0_dynamic_friction,2,-0.3240417242050171,160,40
push,15,object_0_dynamic_friction,3,-0.5641850233078003,160,40
push,15,object_0_dynamic_friction,4,-0.2012099027633667,160,40
push,15,surface_static_friction,0,-2.0441811084747314,160,40
push,15,surface_static_friction,1,-1.1137127876281738,160,40
push,15,surface_static_friction,2,-0.7506465911865234,160,40
push,15,surface_static_friction,3,-0.5896433591842651,160,40
push,15,surface_static_friction,4,-0.669204831123352,160,40
push,15,surface_dynamic_friction,0,-1.0938611030578613,160,40
push,15,surface_dynamic_friction,1,-1.3650150299072266,160,40
push,15,surface_dynamic_friction,2,-2.356550931930542,160,40
push,15,surface_dynamic_friction,3,-0.7278393507003784,160,40
push,15,surface_dynamic_friction,4,-0.5978097915649414,160,40
push,16,object_0_mass,0,-0.8716282844543457,160,40
push,16,object_0_mass,1,-1.2371525764465332,160,40
push,16,object_0_mass,2,-0.9372529983520508,160,40
push,16,object_0_mass,3,-0.7074228525161743,160,40
push,16,object_0_mass,4,-1.1315991878509521,160,40
push,16,object_0_static_friction,0,-2.1712558269500732,160,40
push,16,object_0_static_friction,1,-0.2528001070022583,160,40
push,16,object_0_static_friction,2,-0.6085784435272217,160,40
push,16,object_0_static_friction,3,-0.612582802772522,160,40
push,16,object_0_static_friction,4,-0.4282693862915039,160,40
push,16,object_0_dynamic_friction,0,-1.4321660995483398,160,40
push,16,object_0_dynamic_friction,1,-0.8031491041183472,160,40
push,16,object_0_dynamic_friction,2,-0.7000951766967773,160,40
push,16,object_0_dynamic_friction,3,-0.9490976333618164,160,40
push,16,object_0_dynamic_friction,4,-0.12095880508422852,160,40
push,16,surface_static_friction,0,-1.3193504810333252,160,40
push,16,surface_static_friction,1,-1.1010150909423828,160,40
push,16,surface_static_friction,2,-0.38350892066955566,160,40
push,16,surface_static_friction,3,-0.36031484603881836,160,40
push,16,surface_static_friction,4,-1.0917530059814453,160,40
push,16,surface_dynamic_friction,0,-0.2743276357650757,160,40
push,16,surface_dynamic_friction,1,-1.161424160003662,160,40
push,16,surface_dynamic_friction,2,-1.5788235664367676,160,40
push,16,surface_dynamic_friction,3,-0.806869626045227,160,40
push,16,surface_dynamic_friction,4,-1.0701470375061035,160,40
push,17,object_0_mass,0,-0.9266849756240845,160,40
push,17,object_0_mass,1,-1.0302135944366455,160,40
push,17,object_0_mass,2,-1.9112577438354492,160,40
push,17,object_0_mass,3,-0.4186486005783081,160,40
push,17,object_0_mass,4,-0.30282139778137207,160,40
push,17,object_0_static_friction,0,-1.6391174793243408,160,40
push,17,object_0_static_friction,1,-0.38058650493621826,160,40
push,17,object_0_static_friction,2,-0.6242591142654419,160,40
push,17,object_0_static_friction,3,-0.7570643424987793,160,40
push,17,object_0_static_friction,4,-0.22068274021148682,160,40
push,17,object_0_dynamic_friction,0,-1.4190382957458496,160,40
push,17,object_0_dynamic_friction,1,-0.7990338802337646,160,40
push,17,object_0_dynamic_friction,2,-0.552005410194397,160,40
push,17,object_0_dynamic_friction,3,-0.752772331237793,160,40
push,17,object_0_dynamic_friction,4,0.21287542581558228,160,40
push,17,surface_static_friction,0,-2.995206832885742,160,40
push,17,surface_static_friction,1,-1.434619665145874,160,40
push,17,surface_static_friction,2,-1.3043522834777832,160,40
push,17,surface_static_friction,3,-0.7531577348709106,160,40
push,17,surface_static_friction,4,-1.048820972442627,160,40
