task,target,best_layer,best_r2_mean,best_r2_std,best_mse_mean
peg_insert,ee_velocity,17,0.8688502788543702,0.0028466611238198,3.522427641655668e-06
peg_insert,obj_accel_mag,17,0.3625053524971008,0.0285404394505999,0.0039897920098155
peg_insert,obj_acceleration,15,0.2144978553056716,0.0312747755332659,0.0021547974552958
peg_insert,obj_direction,17,0.1916511535644531,0.0039093881238032,0.2095661997795104
peg_insert,obj_position,14,0.9751959443092346,0.0004235876201004,2.0790822600247334e-05
peg_insert,obj_speed,17,0.6045705080032349,0.036890268709388,3.665042095235549e-05
peg_insert,obj_velocity,17,0.5283176898956299,0.0268427105500019,2.03416380827548e-05
nut_thread,ee_accel_mag,20,0.3813549757003783,0.0171244904819628,0.0004121517762541
nut_thread,ee_acceleration,20,0.0797123193740844,0.0085876246015715,0.0004211232706438
nut_thread,ee_direction,17,0.0186073180288075,0.0014557722064486,0.3266003489494323
nut_thread,ee_position,17,0.9829746842384338,0.0006951627110208,1.4192239541443996e-05
nut_thread,ee_speed,20,0.5036340475082397,0.0192771155958474,4.006228482467122e-06
nut_thread,ee_velocity,20,0.2556746035814284,0.018115001357823,3.540500711096684e-06
nut_thread,obj_accel_mag,20,0.0215117454528808,0.0034262865911901,0.0093352980911731
nut_thread,obj_acceleration,20,0.0041408055461942,0.0005935220989912,0.0065326435491442
nut_thread,obj_direction,18,0.0223611611872911,0.0032396008304799,0.2732525646686554
nut_thread,obj_position,17,0.9828330278396606,0.0007132584730241,1.4271368672780228e-05
nut_thread,obj_speed,20,0.0397759556770324,0.0058425134496611,9.218674822477625e-05
nut_thread,obj_velocity,20,0.02336782887578,0.0050144320703682,6.199797498993576e-05
