task,layer,param,fold,r2,n_train_eps,n_test_eps
peg_insert,6,hole_dynamic_friction,4,-1.3220503330230713,158,39
peg_insert,7,peg_static_friction,0,-1.0496320724487305,157,40
peg_insert,7,peg_static_friction,1,-1.3024992942810059,157,40
peg_insert,7,peg_static_friction,2,-0.7368322610855103,158,39
peg_insert,7,peg_static_friction,3,-1.1006801128387451,158,39
peg_insert,7,peg_static_friction,4,-1.2292218208312988,158,39
peg_insert,7,peg_dynamic_friction,0,-1.0496320724487305,157,40
peg_insert,7,peg_dynamic_friction,1,-1.3024992942810059,157,40
peg_insert,7,peg_dynamic_friction,2,-0.7368322610855103,158,39
peg_insert,7,peg_dynamic_friction,3,-1.1006801128387451,158,39
peg_insert,7,peg_dynamic_friction,4,-1.2292218208312988,158,39
peg_insert,7,peg_mass,0,-1.807056188583374,157,40
peg_insert,7,peg_mass,1,-1.0510976314544678,157,40
peg_insert,7,peg_mass,2,-1.0294384956359863,158,39
peg_insert,7,peg_mass,3,-1.247363805770874,158,39
peg_insert,7,peg_mass,4,-0.6001341342926025,158,39
peg_insert,7,hole_static_friction,0,-1.131542682647705,157,40
peg_insert,7,hole_static_friction,1,-0.8862899541854858,157,40
peg_insert,7,hole_static_friction,2,-0.8832285404205322,158,39
peg_insert,7,hole_static_friction,3,-0.8434767723083496,158,39
peg_insert,7,hole_static_friction,4,-1.0281248092651367,158,39
peg_insert,7,hole_dynamic_friction,0,-1.131542682647705,157,40
peg_insert,7,hole_dynamic_friction,1,-0.8862899541854858,157,40
peg_insert,7,hole_dynamic_friction,2,-0.8832285404205322,158,39
peg_insert,7,hole_dynamic_friction,3,-0.8434767723083496,158,39
peg_insert,7,hole_dynamic_friction,4,-1.0281248092651367,158,39
peg_insert,8,peg_static_friction,0,-0.8412127494812012,157,40
peg_insert,8,peg_static_friction,1,-1.1069245338439941,157,40
peg_insert,8,peg_static_friction,2,-0.9242956638336182,158,39
peg_insert,8,peg_static_friction,3,-0.7977844476699829,158,39
peg_insert,8,peg_static_friction,4,-1.506751298904419,158,39
peg_insert,8,peg_dynamic_friction,0,-0.8412127494812012,157,40
peg_insert,8,peg_dynamic_friction,1,-1.1069245338439941,157,40
peg_insert,8,peg_dynamic_friction,2,-0.9242956638336182,158,39
peg_insert,8,peg_dynamic_friction,3,-0.7977844476699829,158,39
peg_insert,8,peg_dynamic_friction,4,-1.506751298904419,158,39
peg_insert,8,peg_mass,0,-2.8045146465301514,157,40
peg_insert,8,peg_mass,1,-1.7650666236877441,157,40
peg_insert,8,peg_mass,2,-1.5547268390655518,158,39
peg_insert,8,peg_mass,3,-2.029545545578003,158,39
peg_insert,8,peg_mass,4,-1.371877908706665,158,39
peg_insert,8,hole_static_friction,0,-1.237492322921753,157,40
peg_insert,8,hole_static_friction,1,-0.9689764976501465,157,40
peg_insert,8,hole_static_friction,2,-0.7114239931106567,158,39
peg_insert,8,hole_static_friction,3,-0.8541804552078247,158,39
peg_insert,8,hole_static_friction,4,-0.5127309560775757,158,39
peg_insert,8,hole_dynamic_friction,0,-1.237492322921753,157,40
peg_insert,8,hole_dynamic_friction,1,-0.9689764976501465,157,40
peg_insert,8,hole_dynamic_friction,2,-0.7114239931106567,158,39
peg_insert,8,hole_dynamic_friction,3,-0.8541804552078247,158,39
peg_insert,8,hole_dynamic_friction,4,-0.5127309560775757,158,39
peg_insert,9,peg_static_friction,0,-1.157059669494629,157,40
peg_insert,9,peg_static_friction,1,-1.0418281555175781,157,40
peg_insert,9,peg_static_friction,2,-1.5304620265960693,158,39
peg_insert,9,peg_static_friction,3,-1.653914451599121,158,39
peg_insert,9,peg_static_friction,4,-1.360191822052002,158,39
peg_insert,9,peg_dynamic_friction,0,-1.157059669494629,157,40
peg_insert,9,peg_dynamic_friction,1,-1.0418281555175781,157,40
peg_insert,9,peg_dynamic_friction,2,-1.5304620265960693,158,39
peg_insert,9,peg_dynamic_friction,3,-1.653914451599121,158,39
peg_insert,9,peg_dynamic_friction,4,-1.360191822052002,158,39
peg_insert,9,peg_mass,0,-1.9643993377685547,157,40
peg_insert,9,peg_mass,1,-1.836519718170166,157,40
peg_insert,9,peg_mass,2,-1.4053442478179932,158,39
peg_insert,9,peg_mass,3,-1.8962681293487549,158,39
peg_insert,9,peg_mass,4,-0.5763809680938721,158,39
peg_insert,9,hole_static_friction,0,-1.1443777084350586,157,40
