task,layer,variable,var_type,r2_mean,r2_std,n_samples
push,12,ee_velocity,dynamic,0.955363,0.005248,1500
push,12,ee_acceleration,dynamic,0.594317,0.061677,1500
push,12,ee_angular_velocity,dynamic,0.906876,0.021054,1500
push,12,object_velocity,dynamic,0.314929,0.250003,1500
push,12,object_acceleration,dynamic,0.488917,0.050671,1500
push,12,object_angular_velocity,dynamic,0.472469,0.075193,1500
push,12,ee_to_object_distance,dynamic,0.212325,0.016542,1500
push,12,object_to_target_distance,dynamic,0.0,0.0,1500
push,12,object_on_surface,dynamic,0.563465,0.049268,1500
push,12,contact_flag,dynamic,0.0,0.0,1500
push,12,contact_force,dynamic,0.0,0.0,1500
push,12,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,12,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,12,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,12,contact_object_surface_force,dynamic,0.0,0.0,1500
push,12,contact_point,dynamic,0.0,0.0,1500
push,12,phase,dynamic,0.0,0.0,1500
push,12,target_position,dynamic,0.0,0.0,1500
push,13,object_0_mass,static,0.092222,0.02503,1500
push,13,object_0_static_friction,static,0.006464,0.019415,1500
push,13,object_0_dynamic_friction,static,0.044244,0.01939,1500
push,13,surface_static_friction,static,0.030382,0.038441,1500
push,13,surface_dynamic_friction,static,0.122956,0.032525,1500
push,13,ee_velocity,dynamic,0.955332,0.005652,1500
push,13,ee_acceleration,dynamic,0.592193,0.05994,1500
push,13,ee_angular_velocity,dynamic,0.907757,0.021954,1500
push,13,object_velocity,dynamic,0.315826,0.241674,1500
push,13,object_acceleration,dynamic,0.485286,0.047041,1500
push,13,object_angular_velocity,dynamic,0.4708,0.067233,1500
push,13,ee_to_object_distance,dynamic,0.25122,0.012807,1500
push,13,object_to_target_distance,dynamic,0.0,0.0,1500
push,13,object_on_surface,dynamic,0.563802,0.049606,1500
push,13,contact_flag,dynamic,0.0,0.0,1500
push,13,contact_force,dynamic,0.0,0.0,1500
push,13,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,13,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,13,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,13,contact_object_surface_force,dynamic,0.0,0.0,1500
push,13,contact_point,dynamic,0.0,0.0,1500
push,13,phase,dynamic,0.0,0.0,1500
push,13,target_position,dynamic,0.0,0.0,1500
push,14,object_0_mass,static,0.085511,0.027523,1500
push,14,object_0_static_friction,static,0.005293,0.016183,1500
push,14,object_0_dynamic_friction,static,0.038949,0.03542,1500
push,14,surface_static_friction,static,0.029045,0.037439,1500
push,14,surface_dynamic_friction,static,0.121559,0.030276,1500
push,14,ee_velocity,dynamic,0.955969,0.005286,1500
push,14,ee_acceleration,dynamic,0.594624,0.059472,1500
push,14,ee_angular_velocity,dynamic,0.910251,0.019874,1500
push,14,object_velocity,dynamic,0.305225,0.280827,1500
push,14,object_acceleration,dynamic,0.493133,0.043516,1500
push,14,object_angular_velocity,dynamic,0.487322,0.065726,1500
push,14,ee_to_object_distance,dynamic,0.277174,0.014239,1500
push,14,object_to_target_distance,dynamic,0.0,0.0,1500
push,14,object_on_surface,dynamic,0.574508,0.054281,1500
push,14,contact_flag,dynamic,0.0,0.0,1500
push,14,contact_force,dynamic,0.0,0.0,1500
push,14,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,14,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,14,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,14,contact_object_surface_force,dynamic,0.0,0.0,1500
push,14,contact_point,dynamic,0.0,0.0,1500
push,14,phase,dynamic,0.0,0.0,1500
push,14,target_position,dynamic,0.0,0.0,1500
push,15,object_0_mass,static,0.094337,0.038011,1500
push,15,object_0_static_friction,static,0.009989,0.011896,1500
push,15,object_0_dynamic_friction,static,0.034919,0.032831,1500
push,15,surface_static_friction,static,0.040706,0.035977,1500
push,15,surface_dynamic_friction,static,0.130501,0.034162,1500
push,15,ee_velocity,dynamic,0.957353,0.004737,1500
push,15,ee_acceleration,dynamic,0.604006,0.055909,1500
push,15,ee_angular_velocity,dynamic,0.912199,0.019907,1500
push,15,object_velocity,dynamic,0.299455,0.30556,1500
push,15,object_acceleration,dynamic,0.496409,0.046903,1500
push,15,object_angular_velocity,dynamic,0.488996,0.063379,1500
push,15,ee_to_object_distance,dynamic,0.312761,0.013822,1500
push,15,object_to_target_distance,dynamic,0.0,0.0,1500
push,15,object_on_surface,dynamic,0.576393,0.060424,1500
push,15,contact_flag,dynamic,0.0,0.0,1500
push,15,contact_force,dynamic,0.0,0.0,1500
push,15,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,15,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,15,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,15,contact_object_surface_force,dynamic,0.0,0.0,1500
push,15,contact_point,dynamic,0.0,0.0,1500
push,15,phase,dynamic,0.0,0.0,1500
push,15,target_position,dynamic,0.0,0.0,1500
push,16,object_0_mass,static,0.097383,0.030771,1500
push,16,object_0_static_friction,static,0.014593,0.015196,1500
push,16,object_0_dynamic_friction,static,0.028735,0.036299,1500
push,16,surface_static_friction,static,0.039843,0.036254,1500
push,16,surface_dynamic_friction,static,0.13593,0.034403,1500
push,16,ee_velocity,dynamic,0.959213,0.004334,1500
push,16,ee_acceleration,dynamic,0.625044,0.053477,1500
push,16,ee_angular_velocity,dynamic,0.91721,0.021305,1500
push,16,object_velocity,dynamic,0.298526,0.317066,1500
push,16,object_acceleration,dynamic,0.502176,0.04631,1500
push,16,object_angular_velocity,dynamic,0.496431,0.065346,1500
push,16,ee_to_object_distance,dynamic,0.374258,0.016978,1500
push,16,object_to_target_distance,dynamic,0.0,0.0,1500
push,16,object_on_surface,dynamic,0.585044,0.060478,1500
push,16,contact_flag,dynamic,0.0,0.0,1500
push,16,contact_force,dynamic,0.0,0.0,1500
push,16,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,16,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,16,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,16,contact_object_surface_force,dynamic,0.0,0.0,1500
push,16,contact_point,dynamic,0.0,0.0,1500
push,16,phase,dynamic,0.0,0.0,1500
push,16,target_position,dynamic,0.0,0.0,1500
push,17,object_0_mass,static,0.113493,0.027975,1500
push,17,object_0_static_friction,static,0.013986,0.018054,1500
push,17,object_0_dynamic_friction,static,0.029503,0.034763,1500
push,17,surface_static_friction,static,0.045191,0.03712,1500
push,17,surface_dynamic_friction,static,0.139222,0.031178,1500
push,17,ee_velocity,dynamic,0.962805,0.004985,1500
push,17,ee_acceleration,dynamic,0.654692,0.048292,1500
push,17,ee_angular_velocity,dynamic,0.925248,0.018914,1500
push,17,object_velocity,dynamic,0.286481,0.351342,1500
push,17,object_acceleration,dynamic,0.515742,0.046362,1500
push,17,object_angular_velocity,dynamic,0.500407,0.067276,1500
push,17,ee_to_object_distance,dynamic,0.411844,0.016952,1500
push,17,object_to_target_distance,dynamic,0.0,0.0,1500
push,17,object_on_surface,dynamic,0.608877,0.056371,1500
push,17,contact_flag,dynamic,0.0,0.0,1500
push,17,contact_force,dynamic,0.0,0.0,1500
push,17,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,17,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,17,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,17,contact_object_surface_force,dynamic,0.0,0.0,1500
push,17,contact_point,dynamic,0.0,0.0,1500
push,17,phase,dynamic,0.0,0.0,1500
push,17,target_position,dynamic,0.0,0.0,1500
push,18,object_0_mass,static,0.123793,0.024738,1500
push,18,object_0_static_friction,static,0.017495,0.022423,1500
push,18,object_0_dynamic_friction,static,0.020873,0.031602,1500
push,18,surface_static_friction,static,0.036008,0.039097,1500
push,18,surface_dynamic_friction,static,0.134959,0.034749,1500
push,18,ee_velocity,dynamic,0.963549,0.004667,1500
push,18,ee_acceleration,dynamic,0.659855,0.046611,1500
push,18,ee_angular_velocity,dynamic,0.925621,0.018302,1500
push,18,object_velocity,dynamic,0.306786,0.328263,1500
push,18,object_acceleration,dynamic,0.519472,0.048693,1500
push,18,object_angular_velocity,dynamic,0.50991,0.059313,1500
push,18,ee_to_object_distance,dynamic,0.404128,0.020023,1500
push,18,object_to_target_distance,dynamic,0.0,0.0,1500
push,18,object_on_surface,dynamic,0.623063,0.05283,1500
push,18,contact_flag,dynamic,0.0,0.0,1500
push,18,contact_force,dynamic,0.0,0.0,1500
push,18,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,18,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,18,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,18,contact_object_surface_force,dynamic,0.0,0.0,1500
push,18,contact_point,dynamic,0.0,0.0,1500
push,18,phase,dynamic,0.0,0.0,1500
push,18,target_position,dynamic,0.0,0.0,1500
push,19,object_0_mass,static,0.126012,0.029043,1500
push,19,object_0_static_friction,static,0.017066,0.014737,1500
push,19,object_0_dynamic_friction,static,0.016209,0.02804,1500
push,19,surface_static_friction,static,0.028555,0.04034,1500
push,19,surface_dynamic_friction,static,0.138821,0.0317,1500
push,19,ee_velocity,dynamic,0.964383,0.004479,1500
push,19,ee_acceleration,dynamic,0.66482,0.042852,1500
push,19,ee_angular_velocity,dynamic,0.928749,0.01353,1500
push,19,object_velocity,dynamic,0.30169,0.314345,1500
push,19,object_acceleration,dynamic,0.52009,0.049859,1500
push,19,object_angular_velocity,dynamic,0.512528,0.051694,1500
push,19,ee_to_object_distance,dynamic,0.398386,0.016735,1500
push,19,object_to_target_distance,dynamic,0.0,0.0,1500
push,19,object_on_surface,dynamic,0.631724,0.046149,1500
push,19,contact_flag,dynamic,0.0,0.0,1500
push,19,contact_force,dynamic,0.0,0.0,1500
push,19,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,19,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,19,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,19,contact_object_surface_force,dynamic,0.0,0.0,1500
push,19,contact_point,dynamic,0.0,0.0,1500
push,19,phase,dynamic,0.0,0.0,1500
push,19,target_position,dynamic,0.0,0.0,1500
push,20,object_0_mass,static,0.133418,0.026372,1500
push,20,object_0_static_friction,static,0.017304,0.013316,1500
push,20,object_0_dynamic_friction,static,0.025173,0.024759,1500
push,20,surface_static_friction,static,0.032167,0.038575,1500
push,20,surface_dynamic_friction,static,0.142852,0.030768,1500
push,20,ee_velocity,dynamic,0.96652,0.00417,1500
push,20,ee_acceleration,dynamic,0.672186,0.042485,1500
push,20,ee_angular_velocity,dynamic,0.932765,0.01374,1500
push,20,object_velocity,dynamic,0.286955,0.315564,1500
push,20,object_acceleration,dynamic,0.517442,0.050821,1500
push,20,object_angular_velocity,dynamic,0.505525,0.053231,1500
push,20,ee_to_object_distance,dynamic,0.39821,0.015302,1500
push,20,object_to_target_distance,dynamic,0.0,0.0,1500
push,20,object_on_surface,dynamic,0.633224,0.044872,1500
push,20,contact_flag,dynamic,0.0,0.0,1500
push,20,contact_force,dynamic,0.0,0.0,1500
push,20,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,20,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,20,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,20,contact_object_surface_force,dynamic,0.0,0.0,1500
push,20,contact_point,dynamic,0.0,0.0,1500
push,20,phase,dynamic,0.0,0.0,1500
push,20,target_position,dynamic,0.0,0.0,1500
push,21,object_0_mass,static,0.131996,0.023215,1500
